scenario rep analysis pred_rmse pred_r2 pred_ws_rmse pred_ws_r2 par_tpr par_fpr par_fnr par_rmse par_cov par_kappa par_alpha time
correlation_scenario1 1 gemma 1.15628308513736 0.341730471671401 0.819048539161439 0.729435445305637 1 0.977777777777778 NA 0.0543064369402805 NA 0.00452488687782804 -43.4489795918367 1.926
correlation_scenario1 2 gemma 1.27601242784416 0.224550490805793 0.816766098508035 0.650226784853447 1 0.988888888888889 NA 0.0704945333651551 NA 0.0022421524663677 -88 1.696
correlation_scenario1 3 gemma 1.13274850012916 0.283166703748774 0.952079102260057 0.482468182780577 1 1 NA 0.0608104406617202 NA 0 -Inf 2.034
correlation_scenario1 4 gemma 1.11369307100028 0.361300777881082 0.924397375388032 0.685450115610629 1 0.977777777777778 NA 0.0427351517395681 NA 0.00452488687782804 -43.4489795918367 1.853
correlation_scenario1 5 gemma 1.07023137737882 0.356327520882026 0.875964892455678 0.512339083167045 1 0.7 NA 0.0464206859297454 NA 0.0789473684210526 -2.16438356164384 1.829
correlation_scenario1 6 gemma 1.11759463096295 0.306138327615666 0.863991679982724 0.631183486607998 1 0.966666666666667 NA 0.0600821313783572 NA 0.00684931506849316 -28.5979381443299 1.76
correlation_scenario1 7 gemma 1.16152355802575 0.252547635599743 0.951912101501874 0.646452358310797 1 1 NA 0.073077565241675 NA 0 -Inf 1.824
correlation_scenario1 8 gemma 1.2473282958697 0.20592392035535 1.02530597638898 0.45177711522282 1 1 NA 0.0679105825499218 NA 0 -Inf 2.414
correlation_scenario1 9 gemma 1.19286664110996 0.288535997566521 0.901368025536031 0.486389214913705 1 1 NA 0.0620844502392889 NA 0 -Inf 1.775
correlation_scenario1 10 gemma 1.15585982467254 0.300265095363227 0.97254831940594 0.524204686610186 1 1 NA 0.0598547259542191 NA 0 -Inf 2.008
correlation_scenario1 11 gemma 1.17738605189306 0.329323164546044 1.12524391300896 0.341091195424941 1 1 NA 0.0625557590903105 NA 0 -Inf 2.657
correlation_scenario1 12 gemma 1.07947509132768 0.363084230906953 0.900618003243742 0.623625971955279 1 0.966666666666667 NA 0.0403808835982174 NA 0.00684931506849316 -28.5979381443299 1.896
correlation_scenario1 13 gemma 1.20570161123709 0.227158708195746 0.782526920171231 0.743267437399155 1 0.988888888888889 NA 0.0798080959403115 NA 0.0022421524663677 -88 1.719
correlation_scenario1 14 gemma 1.18942150349338 0.227074056878271 1.05537800830734 0.450777161936389 1 1 NA 0.0712418396961974 NA 0 -Inf 1.797
correlation_scenario1 15 gemma 1.09252087607726 0.388570271527948 1.00244507212044 0.496161899793529 1 0.866666666666667 NA 0.0461021398976623 NA 0.0298507462686567 -6.3125 1.91
correlation_scenario1 16 gemma 1.29346039029424 0.208046591644017 0.877710055230105 0.533969488068175 1 1 NA 0.0771706509471089 NA 0 -Inf 1.822
correlation_scenario1 17 gemma 1.14391177558549 0.201830371519259 0.978400220927537 0.574573840798315 1 0.988888888888889 NA 0.0768148551703726 NA 0.0022421524663677 -88 1.661
correlation_scenario1 18 gemma 1.22645724059375 0.291179602383832 0.86302831833309 0.666223650277015 1 0.988888888888889 NA 0.0514741443250309 NA 0.0022421524663677 -88 2.015
correlation_scenario1 19 gemma 1.19797694259565 0.317934769672257 0.917132205483616 0.656328985849044 1 1 NA 0.0788527124721662 NA 0 -Inf 1.694
correlation_scenario1 20 gemma 1.19720200394688 0.197261759618031 0.930703121516935 0.542840899824143 1 0.855555555555556 NA 0.0735552286327002 NA 0.0326633165829146 -5.74005305039788 1.676
correlation_scenario1 21 gemma 1.10556812516628 0.368991647542469 0.920858662954322 0.623838465069002 1 0.966666666666667 NA 0.0531666372685795 NA 0.00684931506849316 -28.5979381443299 1.914
correlation_scenario1 22 gemma 1.17508140736676 0.328436907713363 0.983538099551449 0.613708164955049 1 0.988888888888889 NA 0.0484321379830936 NA 0.0022421524663677 -88 2.064
correlation_scenario1 23 gemma 1.30163897994262 0.173455489870553 0.99701645266517 0.40924305666892 1 1 NA 0.0671360390818903 NA 0 -Inf 2.12
correlation_scenario1 24 gemma 1.17504997496771 0.340100047670219 0.976810826434724 0.425685485437229 1 1 NA 0.0582212422256529 NA 0 -Inf 1.922
correlation_scenario1 25 gemma 1.12446121746231 0.322450749947028 0.976854830080399 0.618069911067222 1 1 NA 0.0641738147168675 NA 0 -Inf 2.155
correlation_scenario1 26 gemma 1.110112363213 0.320434702581984 1.13060898320711 0.486715201410207 1 1 NA 0.0541841733605992 NA 0 -Inf 2.139
correlation_scenario1 27 gemma 1.16867306003268 0.319950983270176 0.775928693485993 0.769904827645659 1 0.922222222222222 NA 0.0847039505540953 NA 0.0165876777251185 -11.6221198156682 1.656
correlation_scenario1 28 gemma 1.11880229419347 0.303548650132845 0.871201885409949 0.690877859011393 1 1 NA 0.0724679423565333 NA 0 -Inf 1.824
correlation_scenario1 29 gemma 1.15329522636659 0.279980169020749 0.89990708412832 0.639022062358172 1 1 NA 0.0618978939816704 NA 0 -Inf 1.824
correlation_scenario1 30 gemma 1.24465112314464 0.245616074057646 0.911862111300665 0.586999242375776 1 0.955555555555556 NA 0.0538351645750207 NA 0.00921658986175116 -21.171875 1.762
correlation_scenario1 31 gemma 1.17002131173089 0.283039907211148 0.824705108341237 0.673042523819833 1 1 NA 0.0704546566774856 NA 0 -Inf 1.717
correlation_scenario1 32 gemma 1.21378957571286 0.235005759346553 0.977757375538024 0.635002271646074 1 1 NA 0.07153964913893 NA 0 -Inf 1.759
