scenario rep analysis pred_rmse pred_r2 pred_ws_rmse pred_ws_r2 par_tpr par_fpr par_fnr par_rmse par_cov par_kappa par_alpha time
correlation_scenario1 1 gemma 1.1093107737564 0.391399048128898 0.768218170219687 0.764882029597473 1 0.944444444444444 NA 0.0448019775048396 NA 0.0116279069767442 -16.7157894736842 1.83
correlation_scenario1 2 gemma 1.28718706106805 0.211524206130671 0.726792273526687 0.751822942745692 1 1 NA 0.073731391178006 NA 0 -Inf 1.743
correlation_scenario1 3 gemma 1.15588265346439 0.254942723671663 0.864363838132445 0.626164549070502 1 1 NA 0.0658210530792404 NA 0 -Inf 1.943
correlation_scenario1 4 gemma 1.10577108119334 0.36933371106803 0.87604125794022 0.724549547455367 1 1 NA 0.0350707153790483 NA 0 -Inf 1.955
correlation_scenario1 5 gemma 1.09318179540821 0.322064421380705 0.725785257374684 0.686724913963547 1 0.922222222222222 NA 0.0517025472702365 NA 0.0165876777251185 -11.6221198156682 1.862
correlation_scenario1 6 gemma 1.09700522209873 0.330531814805019 0.746776239709666 0.742546884826771 1 0.988888888888889 NA 0.0552267638376691 NA 0.0022421524663677 -88 1.824
correlation_scenario1 7 gemma 1.13918812333149 0.280668991098177 0.877044005122115 0.694874923055666 1 1 NA 0.0673318344719656 NA 0 -Inf 1.908
correlation_scenario1 8 gemma 1.24183834931976 0.22427498521873 0.847677043207473 0.673761685751422 0.9 0.977777777777778 NA 0.0668203291699077 NA -0.0159817351598174 -28.9381443298969 1.858
correlation_scenario1 9 gemma 1.15519148169738 0.340102144066684 0.796012916286975 0.621436465951821 1 1 NA 0.0510847213524497 NA 0 -Inf 1.948
correlation_scenario1 10 gemma 1.16211440497496 0.296461354763999 0.850963977490693 0.688310482340501 1 1 NA 0.0622532618860561 NA 0 -Inf 2.206
correlation_scenario1 11 gemma 1.1524394287467 0.36020505338833 0.91349114813026 0.644828134027893 1 1 NA 0.0588999800040368 NA 0 -Inf 2.358
correlation_scenario1 12 gemma 1.11395893608345 0.320494272592846 0.769227131640495 0.752184047576399 1 1 NA 0.048073275360607 NA 0 -Inf 2.301
correlation_scenario1 13 gemma 1.20917097378982 0.223064085924441 0.7569067822069 0.757080029692851 1 1 NA 0.0709704498039202 NA 0 -Inf 3.157
correlation_scenario1 14 gemma 1.21011062763658 0.194433048958309 1.02313822227464 0.487800777239063 1 0.977777777777778 NA 0.0798355108494909 NA 0.00452488687782804 -43.4489795918367 1.662
correlation_scenario1 15 gemma 1.1029585877173 0.373886113061997 0.810003802339802 0.689765083658627 1 0.9 NA 0.0479003265934463 NA 0.0217391304347826 -8.79120879120879 1.787
correlation_scenario1 16 gemma 1.2835414452248 0.210572879227434 0.773801655274694 0.648317687821213 1 1 NA 0.073946026585526 NA 0 -Inf 2.263
correlation_scenario1 17 gemma 1.09778886297618 0.261140461319707 0.860341958936829 0.65452268915395 1 1 NA 0.0549441268742925 NA 0 -Inf 1.947
correlation_scenario1 18 gemma 1.22019038185083 0.29777050432916 0.812796397712165 0.711291543220683 1 0.988888888888889 NA 0.050272248335823 NA 0.0022421524663677 -88 1.865
correlation_scenario1 19 gemma 1.22000828321277 0.290833544477917 0.89556947426147 0.680276987876408 1 0.988888888888889 NA 0.0874231142268147 NA 0.0022421524663677 -88 1.628
correlation_scenario1 20 gemma 1.15476272722963 0.248653746622631 0.85663227613772 0.630790639237308 1 1 NA 0.0581760506762781 NA 0 -Inf 2.05
correlation_scenario1 21 gemma 1.13958317674316 0.324378645954738 0.905541655706868 0.636659399203974 1 0.988888888888889 NA 0.0705174879461279 NA 0.0022421524663677 -88 1.648
correlation_scenario1 22 gemma 1.15079898389957 0.35613918107135 0.911143600245715 0.677944986387786 1 1 NA 0.0473885294113364 NA 0 -Inf 1.981
correlation_scenario1 23 gemma 1.30894164007577 0.163026461599455 0.764741954580383 0.716910618101762 1 0.977777777777778 NA 0.0721602954525416 NA 0.00452488687782804 -43.4489795918367 1.788
correlation_scenario1 24 gemma 1.19849871533978 0.312427645656884 0.754288634155211 0.712987668007265 1 1 NA 0.0625595179214418 NA 0 -Inf 1.933
correlation_scenario1 25 gemma 1.16505739424832 0.266136072577193 0.892063688462725 0.700493033185817 1 0.988888888888889 NA 0.0858012333923333 NA 0.0022421524663677 -88 1.638
correlation_scenario1 26 gemma 1.10856455010134 0.322386247534599 0.993273621802472 0.647029137244153 1 1 NA 0.0530158625424803 NA 0 -Inf 1.966
correlation_scenario1 27 gemma 1.14197557985057 0.353351532930646 0.761214443537266 0.766747306473503 1 1 NA 0.0601433236848672 NA 0 -Inf 2.448
correlation_scenario1 28 gemma 1.12776023881512 0.290355793082605 0.835496663855303 0.704714837561593 1 1 NA 0.0704686188717218 NA 0 -Inf 1.889
correlation_scenario1 29 gemma 1.18142075930957 0.245600745975029 0.789606090640713 0.744311710040645 1 1 NA 0.0740902376872075 NA 0 -Inf 1.793
correlation_scenario1 30 gemma 1.24423396594102 0.247745031968611 0.88345124936504 0.606211917132064 1 0.933333333333333 NA 0.0536534310584369 NA 0.0140845070422535 -13.7446808510638 1.807
correlation_scenario1 31 gemma 1.18429302634228 0.264858530752492 0.750781984604686 0.741102465303954 1 1 NA 0.0772191633011438 NA 0 -Inf 1.844
correlation_scenario1 32 gemma 1.18871189592294 0.266143509895028 0.95589860636324 0.631133103392832 1 1 NA 0.0573466412905146 NA 0 -Inf 1.862
correlation_scenario1 33 gemma 1.08006566019706 0.383474930666722 0.924169525183207 0.651817625014448 1 0.988888888888889 NA 0.042563599616945 NA 0.0022421524663677 -88 1.955
