scenario,n,p,cluster_size,n_causal,beta_mean,beta_sd,scale
2a,50,100,50,10,0.4,0.05,1
4a,500,100,50,10,0.4,0.05,1
6a,50,1000,50,10,0.4,0.05,1
8a,500,1000,50,10,0.4,0.05,1
2b,50,100,50,10,0.8,0.05,1
4b,500,100,50,10,0.8,0.05,1
6b,50,1000,50,10,0.8,0.05,1
8b,500,1000,50,10,0.8,0.05,1
