scenario,rep,r2
10,1,0.32327752485295175
10,10,0.21861607967359567
10,100,0.4552193884001589
10,11,0.28195381096186545
10,12,0.29414974157501156
10,13,0.2951103909232936
10,14,0.30346492226780986
10,15,0.20440556436309074
10,16,0.3448825671568253
10,17,0.38780757354426076
10,18,0.30067292469986995
10,19,0.34924710990128416
10,2,0.19866339681722497
10,20,0.40001564191370964
10,21,0.2518721090684419
10,22,0.35702360729234756
10,23,0.20782536631698034
10,24,0.18326298669773872
10,25,0.2228460075512562
10,26,0.3131255531654623
10,27,0.31889688743391575
10,28,0.10549229499899326
10,29,0.3396061217573619
10,3,0.349123558248577
10,30,0.40055521561465635
10,31,0.31861519226141827
10,32,0.3031226969887506
10,33,0.1862267236696828
10,34,0.3007358902664944
10,35,0.5340517579609907
10,36,0.1675235563713236
10,37,0.39748060471294994
10,38,0.31668659071747374
10,39,0.42955419183012605
10,4,0.21123796121266777
10,40,0.2008819148398784
10,41,0.4196379232353705
10,42,0.3166432322491303
10,43,0.36076785400521294
10,44,0.39572598631264067
10,45,0.2507419419211425
10,46,0.2530989078121029
10,47,0.3453209765967791
10,48,0.24358194531905214
10,49,0.28457455547598076
10,5,0.37467216094216405
10,50,0.32801800684497673
10,51,0.19996677686799924
10,52,0.19975454803379278
10,53,0.11040618165710207
10,54,0.34306373355708114
10,55,0.28157437233968713
10,56,0.26718810544296573
10,57,0.27073328561731647
10,58,0.392138565699455
10,59,0.2495999014858984
10,6,0.25581151433625365
10,60,0.4887976420048198
10,61,0.26520936115844973
10,62,0.20537910014898808
10,63,0.49519366182255425
10,64,0.3470647336281996
10,65,0.48903783191268196
10,66,0.359834267066753
10,67,0.2160383562188903
10,68,0.39715931464968035
10,69,0.3162659842258607
10,7,0.2871559813572161
10,70,0.2836247002963061
10,71,0.2458892076018648
10,72,0.306695609868639
10,73,0.26125610740785765
10,74,0.2985676573070489
10,75,0.30471874075052696
10,76,0.3937363152357689
10,77,0.45080414709461936
10,78,0.22390842020809065
10,79,0.4002592396186663
10,8,0.4363735232462452
10,80,0.3185191322912418
10,81,0.13738289270336154
10,82,0.32618717173397765
10,83,0.3532319262365954
10,84,0.13066322778109843
10,85,0.2989422232286247
10,86,0.22999887043511755
10,87,0.33333062518218526
10,88,0.2489202901548917
10,89,0.30803729160266224
10,9,0.22638419272686586
10,90,0.5080910564922586
10,91,0.49854945872036144
10,92,0.113129292241395
10,93,0.3705789580360984
10,94,0.26026225525575947
10,95,0.07494987979382921
10,96,0.19492860692557049
10,97,0.37746075237293386
10,98,0.4421039096797598
10,99,0.1324928781583421
12,1,0.358248398793645
12,10,0.3893974916721679
12,100,0.213720245129407
12,11,0.26878227263882914
12,12,0.3110112348602449
12,13,0.3148420845892824
12,14,0.3365258385339649
12,15,0.3084397796408696
12,16,0.3489703880071217
12,17,0.2608123464831767
12,18,0.29827977802139527
12,19,0.2670323144560196
12,2,0.30537096865076324
12,20,0.23507925238676797
12,21,0.28471066494116964
12,22,0.3124222571732216
12,23,0.30562807439341483
12,24,0.31190877415092483
12,25,0.3179611774827398
12,26,0.34423275191797176
12,27,0.32322363006956517
12,28,0.2902968066065069
12,29,0.28726788287070676
12,3,0.2309314057703642
12,30,0.231704921355195
12,31,0.3013507958012497
12,32,0.2564826361283946
12,33,0.278249376089923
12,34,0.36506191545770256
12,35,0.3671593514462333
12,36,0.3769534686413673
12,37,0.3593053224165295
12,38,0.3667066061498281
12,39,0.2632592914673738
12,4,0.2323572610372423
12,40,0.4043750693419454
12,41,0.2902071151409258
12,42,0.4196641778035427
12,43,0.25879067219613144
12,44,0.3472208075777794
12,45,0.2932379387168057
12,46,0.26529176229273754
12,47,0.28694237067682893
12,48,0.36572752482157417
12,49,0.30805369642722946
12,5,0.22165370854734107
12,50,0.2962644053866755
12,51,0.2744350096542327
12,52,0.3209799052518019
12,53,0.3419372309530203
12,54,0.3092385454919612
12,55,0.33522610064654346
12,56,0.3802967110777242
12,57,0.2574752803356506
12,58,0.3036759565612652
12,59,0.25824302496553214
12,6,0.2200237902112241
12,60,0.3419460767398308
12,61,0.2795448307707106
12,62,0.3677910644852589
12,63,0.3163769305229354
12,64,0.2880225772813247
12,65,0.24543139176645107
12,66,0.2821253724065384
12,67,0.28607218429480424
12,68,0.28618932128024177
12,69,0.37600409204822693
12,7,0.3028981144560044
12,70,0.2755165263055854
12,71,0.2913108922843398
12,72,0.26950025447396425
12,73,0.3047743339253954
12,74,0.32267755111712415
12,75,0.32363795871684353
12,76,0.2802250917417298
12,77,0.2876541169180968
12,78,0.24314867224845804
12,79,0.40339987057783766
12,8,0.35881271604753884
12,80,0.25801932390914356
12,81,0.2600015139547316
12,82,0.2102170822431218
12,83,0.2782659360253699
12,84,0.22732404522947952
12,85,0.24389163891418192
12,86,0.22552392182261213
12,87,0.26087493906298065
12,88,0.3259805881366056
12,89,0.2972878819605059
12,9,0.25110785571930144
12,90,0.26456361719245813
12,91,0.34008762580981655
12,92,0.32882961826689777
12,93,0.3713540311828344
12,94,0.2909722537851682
12,95,0.39358718322482844
12,96,0.20510180308627993
12,97,0.3078265128607172
12,98,0.28410553390052495
12,99,0.2788942267825576
14,1,0.25958305799382014
14,10,0.43349691709687954
14,100,0.21076989867734905
14,11,0.4610247710180525
14,12,0.14247798386528668
14,13,0.30019263016330083
14,14,0.4281768576238126
14,15,0.4359959200199365
14,16,0.44015409302956254
14,17,0.2589192890150932
