scenario rep analysis pred_rmse pred_r2 pred_ws_rmse pred_ws_r2 par_tpr par_fpr par_fnr par_rmse par_cov par_kappa par_alpha time
bigN_scenario1 1 lasso 1.35787961823681 0 1.36719349973779 0 0 0 NA 0.03 NA 0 NaN 639.633
bigN_scenario1 1 glasso 1.06795790387232 0.413972512313102 1.0385369811315 0.465219039863134 1 0.0232323232323232 NA 0.0162316044263389 NA 0.456778460085025 0.279966155871016 11.885
bigN_scenario1 1 ridge 1.14550842614323 0.289681186426561 0.953269061439149 0.541351555954543 1 0.551515151515152 NA 0.0276622486432322 NA 0.0160034602076125 -1.20953237410072 30.2850000000001
bigN_scenario1 1 gridge 1.2812586040617 0.240218924361751 0.689933090296966 0.752622671874914 1 1 NA 0.0420794604870963 NA 0 -Inf 8.817
bigN_scenario1 1 elastic 1.06313523432797 0.395182911307279 0.988961286872116 0.497083523850777 1 0.0636363636363636 NA 0.0168756442267166 NA 0.227373068432671 0.069956111184998 15.406
bigN_scenario1 1 gemma 1.04127560078689 0.412650372617915 0.994819593376586 0.471879297563338 0.9 0.188888888888889 NA 0.0144879686819948 NA 0.0696753760886782 -0.185482028632348 13.662
bigN_scenario1 1 susie 1.02784753042531 0.427889366656969 1.01633103864808 0.447659813792893 1 0.00505050505050505 NA 0.0118406080924925 NA 0.797570850202429 0.661928934010152 2.608
bigN_scenario1 1 spike_slab 1.05155720616447 0.402237315888547 1.00739090919939 0.460733945392049 0.9 0.717171717171717 NA 0.0143803988890711 NA 0.00506562928549433 -2.51065883319557 111.996
bigN_scenario1 1 forest 1.20445676404525 0.259845571637539 0.459704120111252 0.978989854374366 1 1 NA 3.33023894195126 0 0 -Inf 116.728
bigN_scenario1 2 lasso 3.75052558239225 0.0436725560558507 0.221401990914111 0.973786991409307 0.8 0.93030303030303 NA 7.40902499986062 NA -0.00280306816453358 -12.9492563562213 1036.608
bigN_scenario1 2 glasso 1.08571726489102 0.395052000625508 1.00214990353675 0.468010358267095 1 0.0202020202020202 NA 0.015018985859963 NA 0.492385786802031 0.31340206185567 18.597
bigN_scenario1 2 ridge 1.16685844807594 0.2709958080882 0.909362690794679 0.566976938365899 1 0.576767676767677 NA 0.0271845544381364 NA 0.0144637370982776 -1.34321123566889 49.163
bigN_scenario1 2 gridge 1.27832067631647 0.229712166055546 0.637794953495814 0.778038019279936 1 1 NA 0.0448198088445878 NA 0 -Inf 16.745
bigN_scenario1 2 elastic 1.07354854696977 0.387252858513209 0.935295660459148 0.525483248555766 1 0.0797979797979798 NA 0.0135717862300624 NA 0.187409997942811 0.0266160164777564 23.672
bigN_scenario1 2 gemma 1.03724029522705 0.423388636323173 0.950508361988234 0.493594094956188 1 0.162626262626263 NA 0.00361902152859432 NA 0.0933663700867217 -0.13459462891245 22.471
bigN_scenario1 2 susie 1.06035936952137 0.398128060710257 0.995848357337985 0.442525539294325 0.9 0.00202020202020202 NA 0.0128452325786651 NA 0.855630413859479 0.81634341391672 4.781
bigN_scenario1 2 spike_slab 1.03771639532026 0.424547657806481 0.965872026967774 0.478443237519329 1 0.726262626262626 NA 0.00468308955723955 NA 0.00748184754700309 -2.63577969113024 182.547
bigN_scenario1 2 forest 1.21215204074702 0.26568835907244 0.446125904328433 0.979516271928096 1 1 NA 3.58721947563813 0 0 -Inf 159.378
bigN_scenario1 3 lasso 3.09858727899011 0.0588301222929954 0.258360255796281 0.965890483911863 1 0.924242424242424 NA 5.3684566744365 NA 0.00163666121112931 -12.176 654.161
bigN_scenario1 3 glasso 1.0321580137364 0.459964582410362 1.0106630466659 0.517421988729464 1 0.0131313131313131 NA 0.0105092808750958 NA 0.600491702519977 0.422055093231276 8.337
bigN_scenario1 3 ridge 1.13310401055216 0.318176420789821 0.88187530501972 0.628752020154374 1 0.678787878787879 NA 0.0266983145535444 NA 0.00937555280382103 -2.095446245781 10.578
bigN_scenario1 3 gridge 1.26429818201105 0.258180443415 0.635933388535477 0.799724682375691 1 1 NA 0.0427168753076387 NA 0 -Inf 7.35
bigN_scenario1 3 elastic 1.02994232501267 0.442536931516743 0.969814178503654 0.541296548905522 1 0.0505050505050505 NA 0.0113947036739159 NA 0.273255813953487 0.11436170212766 10.578
bigN_scenario1 3 gemma 0.998478003433215 0.470016825857083 0.959374390586179 0.530515021703668 1 0.0939393939393939 NA 0.00648186298694773 NA 0.161709031909141 -0.00558495957398453 13.741
bigN_scenario1 3 susie 0.989865535764549 0.479094263713004 0.981704269046948 0.507037757660153 1 0 NA 0.00322490309931942 NA 1 1 2.807
bigN_scenario1 3 spike_slab 0.992831859372377 0.476330662446685 0.973834441881374 0.517488024121197 1 0.711111111111111 NA 0.00322261428953533 NA 0.00805951642901434 -2.44408532643827 119.68
bigN_scenario1 3 forest 1.20118475101051 0.299711653277177 0.471269539821356 0.9803249557813 1 1 NA 3.61795385857708 0 0 -Inf 122.75
bigN_scenario1 4 lasso 3.6195197037707 0.027347028837642 0.266694614970394 0.962339856231439 1 0.916161616161616 NA 3.51723158550895 NA 0.00182686593445292 -10.9048889122466 678.582
bigN_scenario1 4 glasso 1.06673896447454 0.497146551108877 0.989659878634734 0.49525190730808 1 0.0272727272727273 NA 0.0159187797208347 NA 0.416342412451362 0.242990654205608 8.872
bigN_scenario1 4 ridge 1.13330340231182 0.380711868849266 0.867258518259635 0.610404151020511 1 0.595959595959596 NA 0.0275680975041804 NA 0.0133779264214046 -1.455875 33.953
