scenario rep analysis pred_rmse pred_r2 pred_ws_rmse pred_ws_r2 par_tpr par_fpr par_fnr par_rmse par_cov par_kappa par_alpha time
bigN_scenario1 1 lasso 3.84679979804678 0.0442364818210305 0.255178629632792 0.967020263158264 1 0.939393939393939 NA 17.5889239178606 NA 0.00128865979381444 -15.4728723404255 707.331
bigN_scenario1 1 glasso 1.06795790387232 0.413972512313102 1.0385369811315 0.465219039863134 1 0.0232323232323232 NA 0.0162316044263389 NA 0.456778460085025 0.279966155871016 13.153
bigN_scenario1 1 ridge 1.14550842614323 0.289681186426561 0.953269061439149 0.541351555954543 1 1 NA 0.0276367917304667 NA 0 -Inf 31.307
bigN_scenario1 1 gridge 1.30084236709387 0.234540218998742 0.676689997139364 0.761637332399419 1 1 NA 0.0446234987079205 NA 0 -Inf 9.753
bigN_scenario1 1 elastic 1.06313523432797 0.395182911307279 0.988961286872116 0.497083523850777 1 0.0636363636363636 NA 0.0168756442267166 NA 0.227373068432671 0.069956111184998 16.917
bigN_scenario1 1 gemma 1.04310549102236 0.411821567052061 0.987423783413576 0.479452058717612 1 0.15959595959596 NA 0.0134733982224822 NA 0.0952817224003664 -0.129249656593407 17.014
bigN_scenario1 1 susie 1.02784753042531 0.427889366656969 1.01633103864808 0.447659813792893 1 1 NA 0.0119880367569676 NA 0 -Inf 2.92
bigN_scenario1 1 spike_slab 1.04360130556331 0.410619055366726 1.00454477916865 0.463253233206341 1 0.726262626262626 NA 0.0156479030581517 NA 0.00748184754700309 -2.63577969113024 119.169
bigN_scenario1 1 forest 1.20417951360092 0.259973993703849 1.191474328344 0.295002623262974 1 1 NA 3.44646196256292 0 0 -Inf 118.087
bigN_scenario1 2 lasso 3.75052558239225 0.0436725560558507 0.221401990914111 0.973786991409307 0.8 0.93030303030303 NA 7.40902499986062 NA -0.00280306816453358 -12.9492563562213 718.139
bigN_scenario1 2 glasso 1.09328003173911 0.39155646916436 1.01308840107381 0.45987212385362 1 0.0181818181818182 NA 0.0158452476887051 NA 0.519230769230771 0.339285714285714 9.626
bigN_scenario1 2 ridge 1.16685844807594 0.2709958080882 0.909362690794679 0.566976938365899 1 1 NA 0.0269142110983801 NA 0 -Inf 31.5630000000001
bigN_scenario1 2 gridge 1.27832067631647 0.229712166055546 0.637794953495814 0.778038019279936 1 1 NA 0.0448198088445878 NA 0 -Inf 8.211
bigN_scenario1 2 elastic 1.07386633499801 0.388881923173546 0.944175423539445 0.518024122533161 1 0.0737373737373737 NA 0.0137149360952498 NA 0.200788263630392 0.0418336377133397 12.592
bigN_scenario1 2 gemma 1.04983253383988 0.409330555348823 0.950080138957937 0.494221944181236 1 0.134343434343434 NA 0.0114125870626504 NA 0.114160117223924 -0.0841771996964529 14.086
bigN_scenario1 2 susie 1.06035936952137 0.398128060710257 0.995848357337985 0.442525539294325 1 1 NA 0.0127307983767937 NA 0 -Inf 3.006
bigN_scenario1 2 spike_slab 1.03740300241257 0.424885438285375 0.960926604700008 0.484102225774993 1 0.75959595959596 NA 0.00497749949931612 NA 0.00628997304297269 -3.1423939654602 122.188
bigN_scenario1 2 forest 1.21467001516504 0.254314611466753 1.166590834649 0.28820941846158 1 1 NA 3.69238437522289 0 0 -Inf 120.557
bigN_scenario1 3 lasso 3.09858727899011 0.0588301222929954 0.258360255796281 0.965890483911863 1 0.924242424242424 NA 5.3684566744365 NA 0.00163666121112931 -12.176 694.34
bigN_scenario1 3 glasso 1.03755390711848 0.460658053359336 1.02059578372615 0.514249668645091 1 0.0121212121212121 NA 0.010965902532859 NA 0.619771863117871 0.442833240379253 8.826
bigN_scenario1 3 ridge 1.13310401055216 0.318176420789821 0.88187530501972 0.628752020154374 1 1 NA 0.0265362382210152 NA 0 -Inf 11.037
bigN_scenario1 3 gridge 1.26429818201105 0.258180443415 0.635933388535477 0.799724682375691 1 1 NA 0.0427168753076387 NA 0 -Inf 7.417
bigN_scenario1 3 elastic 1.03028768053666 0.437887791960424 0.95552453211078 0.549852340450645 1 0.0626262626262626 NA 0.0112249880822872 NA 0.230387288977158 0.0730064655172413 11.46
bigN_scenario1 3 gemma 0.992053215643908 0.476711724795656 0.96020302176504 0.530089557392876 1 0.114141414141414 NA 0.0036141536230656 NA 0.134364945610542 -0.0464999860945019 14.738
bigN_scenario1 3 susie 0.989865535764549 0.479094263713004 0.981704269046948 0.507037757660153 1 1 NA 0.00335604295255255 NA 0 -Inf 2.746
bigN_scenario1 3 spike_slab 0.992641548884659 0.476541825592952 0.971700426282658 0.519790136528886 1 0.737373737373737 NA 0.00294823462565669 NA 0.00707290533188246 -2.79038461538462 119.077
bigN_scenario1 3 forest 1.19773517196171 0.307309464648383 1.2269149910387 0.294646234208904 1 1 NA 3.48901351279245 0 0 -Inf 122.106
bigN_scenario1 4 lasso 3.6195197037707 0.027347028837642 0.266694614970394 0.962339856231439 1 0.916161616161616 NA 3.51723158550895 NA 0.00182686593445292 -10.9048889122466 694.895
bigN_scenario1 4 glasso 1.08390982809881 0.49845912590024 1.00950497322412 0.487778848578035 1 0.0181818181818182 NA 0.017081620750366 NA 0.519230769230771 0.339285714285714 9.111
bigN_scenario1 4 ridge 1.13330340231182 0.380711868849266 0.867258518259635 0.610404151020511 1 1 NA 0.0273744990644574 NA 0 -Inf 32.472
bigN_scenario1 4 gridge 1.24795054721241 0.317889979553429 0.635468039830088 0.781021945374564 1 1 NA 0.0430646539386585 NA 0 -Inf 7.261
